# energy [hartree]:-73.8396768405
# iterations before stopping: 18
#Runtime settings
#number of atoms: 40
#electronic configuration: [2 2 1 1]
#wiegner seitz radious: 3.93
#R_c: 13.440410940878838
#beta: 0.25

#r	rho	potential
10.32	0.00444144291313	-0.273957919751
10.34	0.00443767743214	-0.274118168866
10.36	0.00443363140139	-0.274274366709
10.38	0.00442930256456	-0.274426432847
10.4	0.00442468875726	-0.274574286515
10.42	0.00441978790867	-0.274717846622
10.44	0.00441459804291	-0.274857031761
10.46	0.00440911728062	-0.274991760207
10.48	0.00440334384029	-0.275121949931
10.5	0.00439727603967	-0.275247518602
10.52	0.00439091229712	-0.275368383594
10.54	0.00438425113284	-0.275484461993
10.56	0.00437729117015	-0.275595670608
10.58	0.00437003113669	-0.275701925972
10.6	0.00436246986549	-0.275803144357
10.62	0.00435460629614	-0.275899241777
10.64	0.00434643947577	-0.275990134
10.66	0.00433796856007	-0.276075736553
10.68	0.00432919281419	-0.276155964738
10.7	0.00432011161363	-0.276230733632
10.72	0.00431072444503	-0.276299958107
10.74	0.004301030907	-0.276363552832
10.76	0.00429103071071	-0.27642143229
10.78	0.00428072368063	-0.276473510783
10.8	0.00427010975508	-0.276519702448
10.82	0.00425918898671	-0.276559921267
10.84	0.004247961543	-0.276594081076
10.86	0.00423642770665	-0.276622095582
10.88	0.00422458787589	-0.276643878373
10.9	0.00421244256476	-0.276659342931
10.92	0.00419999240331	-0.276668402645
10.94	0.00418723813772	-0.276670970825
10.96	0.00417418063037	-0.276666960715
10.98	0.00416082085987	-0.276656285508
11.0	0.00414715992094	-0.276638858362
11.02	0.00413319902432	-0.276614592411
11.04	0.00411893949655	-0.276583400782
11.06	0.00410438277968	-0.276545196612
11.08	0.00408953043097	-0.27649989306
11.1	0.00407438412242	-0.276447403326
11.12	0.00405894564036	-0.276387640667
11.14	0.00404321688483	-0.276320518411
11.16	0.00402719986903	-0.276245949977
11.18	0.00401089671857	-0.276163848891
11.2	0.00399430967074	-0.276074128799
